"date","year","doy","zona","LAI","P30","P60","T2m_C","GDA","SM_sup","SM_root","Rad7","Rad30","LAI_max_zy","LAI_norm","LAI_hayedo","LAI_hayedo_norm","LAI_hayedo_anom","GDA2","LAI_norm_clim_A","LAI_norm_res_A","LAI_clim_A","LAI_res_A"
2022-09-10,2022,252,"pasto_cercano",0.691956747677279,74.2740478547393,89.7035812357134,19.0113552645318,1883.69930627531,0.250532374192084,0.255552688234757,18.5127485489668,518.882350471698,2.20293757790762,0.314106379870514,3.06857637010571,0.65517417036303,-0.0452006282736575,3548323.0764621,0.502030005140221,-0.187923625269708,1.10594076356055,-0.413984015883268
2022-09-20,2022,262,"pasto_cercano",0.666183516636325,61.1743195353121,98.9701044231149,13.762971704511,2017.3365146701,0.244732214969659,0.239627542735646,17.5240571284816,504.886400327044,2.20293757790762,0.302406896735166,3.02936084698823,0.646801232972861,-0.0134379582804404,4069646.6134213,0.467454138958944,-0.165047242223778,1.02977228866111,-0.363588772024781
2022-10-05,2022,277,"pasto_cercano",0.674116101059354,70.4539818132477,147.718231232154,16.1815805319221,2145.47224876836,0.317818485715854,0.323055396289945,13.4577452651617,443.327917985456,2.20293757790762,0.306007808763987,2.79017734401169,0.595732973875963,0.00918132001919425,4603051.17023517,0.421349736268007,-0.11534192750402,0.928207167466255,-0.254091066406901
2022-10-15,2022,287,"pasto_cercano",0.738852008968711,91.9427610994328,169.747901841243,17.0814815601213,2250.45621568772,0.349227735331473,0.351424120757065,10.2170476988853,383.970183626228,2.20293757790762,0.335393983187887,2.28756841674576,0.488420543868832,-0.0412035855556345,5064553.1787275,0.438095157455624,-0.102701174267737,0.965096285058347,-0.226244276089636
2023-04-08,2023,97,"pasto_cercano",1.25741236197311,NA,NA,12.456741587321,22.2882871935704,0.348395209642326,0.359784373697245,19.5873554797844,NA,2.04782437239896,0.61402353586606,1.31522929068378,0.451199901646673,0.190117957390118,496.767746023075,NA,NA,NA,NA
2023-07-22,2023,202,"pasto_cercano",1.50824795263008,24.1307788238122,196.802631284921,17.7446081677323,1088.67679727583,0.253047685203312,0.265080134073893,20.3942836999102,612.804409396226,2.04782437239896,0.736512355726683,2.86278842580884,0.982102410058583,0.0998531578141001,1185217.16892675,0.855356049142196,-0.118843693415512,1.75161896451228,-0.243371011882197
2023-07-27,2023,207,"pasto_cercano",2.04782437239896,36.8238488644638,203.259253115179,19.1053367454801,1149.94215929364,0.285439939119031,0.267398803738928,20.0012141761006,584.671184773585,2.04782437239896,1,2.91495916972454,1,0.138937188928963,1322366.96972091,0.843647691138779,0.156352308861221,1.72764230363211,0.320182068766859
2023-08-11,2023,222,"pasto_cercano",1.93315710126095,40.1441949584047,160.814958530973,21.2858642306218,1345.24279526525,0.235918159005027,0.247130858823188,24.949149163522,617.959301044025,2.04782437239896,0.944005319653614,2.81709917071177,0.966428346568566,0.164315789827841,1809678.17821306,0.754899820414898,0.189105499238716,1.54590225096523,0.387254850295716
2023-08-21,2023,232,"pasto_cercano",1.64300694326419,48.872787514328,73.0035663381402,22.9323120820947,1504.92651350074,0.236081705153363,0.241760226915467,20.1682611230907,612.879523836478,2.04782437239896,0.802318287353647,2.62126862465868,0.899247115322848,0.131478986115356,2264803.81103748,0.617005272934268,0.185313014419379,1.26351843581347,0.379488507450725
2023-09-20,2023,262,"pasto_cercano",1.58485327247725,178.305491990818,227.178279505146,18.8153360538763,1937.33036667926,0.352468470607414,0.359008665604661,15.3257786028751,472.747637647799,2.04782437239896,0.773920505019014,2.58897143389067,0.888167306348693,0.227928115095392,3753248.9496576,0.6214697781312,0.152450726887814,1.27266095836645,0.312192314110804
2023-09-25,2023,267,"pasto_cercano",1.49297599806156,186.597897427978,234.313240969851,18.1994674954525,1988.08530087421,0.359634063528769,0.368058861426587,14.7846116526842,459.646557669418,2.04782437239896,0.729054707124411,2.23023391332231,0.765099537752036,0.12760632952698,3952483.16355211,0.626008300649217,0.103046406475194,1.28195505539352,0.211020942668033
2023-09-30,2023,272,"pasto_cercano",1.4584679568087,154.651673506837,231.531600468408,20.646679558744,2058.45863649861,0.320696530851928,0.332194905610954,17.5183827543555,472.507469603381,2.04782437239896,0.712203632531313,2.18530465125524,0.749686195934521,0.136792300345337,4237251.9581757,0.587495019677366,0.124708612853947,1.20308661995832,0.25538133685038
2023-10-05,2023,277,"pasto_cercano",1.41157154818346,98.7381046346794,218.742106202125,18.9037397556585,2129.64973063119,0.305932726750084,0.312988544660044,15.1880486672282,467.291414266116,2.04782437239896,0.689303031651025,2.12155918799634,0.727817806174219,0.14126615231745,4535407.97517752,0.560916698160789,0.128386333490235,1.14865888537922,0.262912662804245
2023-10-10,2023,282,"pasto_cercano",1.27077665583292,94.9340266095023,217.867338102855,18.1075169089456,2203.00719850249,0.275745877679789,0.290954826762841,15.9796782285455,451.927410338419,2.04782437239896,0.620549629626806,2.06590286506735,0.708724460542814,0.150032999048681,4853240.71665378,0.571609492883524,0.048940136743282,1.17055585102149,0.100220804811431
2023-10-30,2023,302,"pasto_cercano",1.47996979684796,164.692977476818,319.344650983655,12.3876212801823,2393.24409546123,0.41447867187564,0.421089897615605,7.24885171428571,341.000288068372,2.04782437239896,0.722703478284233,NA,NA,NA,5727617.30046003,0.662368886652873,0.0603345916313607,1.35641514960652,0.123554647241439
2024-04-12,2024,102,"pasto_cercano",1.80515327537968,NA,NA,14.8686122638375,81.4188815350805,0.366772191829402,0.377599980596226,19.4376937610063,NA,2.24715821671442,0.803304930624335,1.33670385238718,0.346808331572804,0.00378716421076297,6629.03427042348,NA,NA,NA,NA
2024-07-31,2024,212,"pasto_cercano",2.24715821671442,37.7755783382664,131.75575586147,23.4404421576414,1100.65509383724,0.250804751174255,0.253166134252488,23.5776714869721,662.86740027673,2.24715821671442,1,3.85430144173617,1,0.159556699695026,1211441.63558986,0.796142419217658,0.203857580782342,1.78905797901985,0.458100237694562
